473.95,552.63,1,475.46,503.5,1,472.44,442.28,1,498.9,443.04,1,497.38,492.17,1,498.14,532.98,1,464.13,382.57,1,446.74,401.47,1,463.37,362.16,1,513.26,365.94,1,517.03,393.91,1,519.3,393.91,1,489.83,350.83,1,491.34,312.28,1
132.6,780.95,1,231.16,640.5,1,293.99,449.55,1,376.53,450.78,1,429.51,613.4,1,367.91,668.84,1,287.83,370.7,1,234.86,346.06,1,300.15,237.65,1,462.77,251.2,1,521.9,327.59,1,513.28,452.01,1,380.23,247.51,1,391.31,145.26,1
451.13,455.25,1,382.94,284.77,1,503.12,385.35,1,570.46,452.69,1,559.38,636.81,1,490.34,577.14,1,423.85,162.88,1,553.41,204.65,1,671.9,203.79,1,762.25,372.57,1,733.27,543.9,1,739.23,534.52,1,747.76,289.89,1,743.5,172.26,1
448.57,630.84,1,516.76,586.52,1,492.9,514.06,1,507.39,518.32,0,509.94,587.37,0,492.04,671.75,1,498.86,520.03,1,480.11,460.36,1,493.75,416.89,1,518.47,423.71,0,496.3,474,0,520.17,542.19,0,522.73,409.22,1,550,386.2,1
405.61,757.28,1,418.81,684.71,1,384.5,631.92,1,364.71,627.96,1,388.46,689.98,1,360.75,736.17,1,472.91,528.99,1,442.56,548.79,1,409.57,540.87,1,414.85,554.07,1,453.12,572.54,1,474.23,543.51,1,418.81,527.68,1,421.45,496.01,1
432.29,478.77,1,486.46,426.69,1,515.63,362.1,1,518.75,364.19,1,588.54,393.35,1,597.92,472.52,1,551.04,336.06,1,504.17,307.93,1,525,268.35,1,532.29,275.64,0,500,311.06,1,480.21,343.35,1,542.71,267.31,1,550,229.81,1
231.76,181.77,1,309.04,329.52,1,201.07,396.58,0,197.66,396.58,1,276.08,309.06,1,161.29,285.2,1,299.95,348.84,0,241.99,424.99,0,335.18,414.76,0,320.41,437.49,1,220.39,426.12,1,265.85,374.98,1,352.23,410.21,1,409.05,385.21,1
194.25,860.27,1,207.89,731.85,1,251.08,625.01,1,304.5,639.79,1,327.23,755.71,1,282.9,893.23,1,105.6,427.26,1,164.7,449.99,1,253.35,453.4,1,367,477.27,1,421.56,550,1,481.79,630.7,1,302.22,463.63,1,340.86,430.67,1
244.4,770.49,1,314.86,593.19,1,184.16,477.27,1,260.31,488.63,1,200.07,651.15,1,117.11,789.81,1,105.74,398.85,1,84.148,320.43,1,164.84,252.24,1,289.86,218.14,1,333.04,315.88,1,366,267.01,1,226.21,207.91,1,231.89,112.45,1
190.18,589.18,1,260.48,493.2,1,182.37,484.28,1,210.27,487.62,1,228.12,555.7,1,205.8,633.82,1,363.15,201.93,1,310.7,254.39,1,245.98,322.46,1,282.8,364.87,1,356.46,343.66,1,411.14,283.4,1,267.18,338.08,1,243.74,287.86,1
289.86,688.66,1,367.14,714.8,1,292.13,607.97,1,221.67,607.97,1,246.67,579.55,0,228.49,711.39,1,486.47,642.06,1,437.6,569.33,1,414.87,485.22,1,325.09,429.53,0,296.68,555.69,0,364.87,648.88,0,397.83,430.67,1,430.78,368.16,1
545.56,408.65,1,627.48,290.08,1,605.2,212.47,1,632.51,221.82,1,712.27,178.7,1,828.68,248.4,1,646.88,45.76,1,631.07,69.474,1,616.7,124.09,1,656.22,154.99,1,712.27,154.99,1,707.24,109,1,639.69,124.09,1,642.57,101.09,1
722.31,719.02,1,731.55,583.1,1,730.23,451.14,1,783.02,452.46,1,802.81,589.7,1,794.89,701.86,1,706.48,437.94,1,680.09,379.88,1,702.52,290.15,1,812.05,280.91,1,804.13,365.37,1,843.72,394.4,1,759.26,249.24,1,755.3,172.71,1
569.27,436.53,0,695.02,412.1,0,638.25,436.53,0,585.8,442.28,1,447.11,440.84,1,307.7,432.94,1,638.25,378.32,0,552.74,338.08,0,472.98,316.53,0,471.54,381.92,1,396.81,469.59,1,312.73,446.59,1,460.76,349.58,1,420.52,325.15,1
807.3,526.69,1,808.35,477.73,1,781.26,429.81,1,766.68,429.81,1,760.43,479.82,1,716.67,496.48,1,836.47,410.02,1,809.39,397.52,1,809.39,370.44,1,800.01,368.35,0,791.68,399.6,0,807.3,413.15,0,808.35,361.06,1,813.55,331.89,1
363.88,355.3,1,402.94,336.58,1,407.82,305.66,1,422.47,308.91,1,456.65,325.19,1,462.35,356.11,1,360.62,264.97,1,370.39,262.52,1,394.8,264.97,1,426.54,250.32,1,437.12,238.11,1,456.65,228.34,1,413.52,262.52,1,413.52,241.36,1
